### params -i8192 -r16384 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0_stats                                                                lpdquadtsx-ll_harris_tsx_0_stats                                                                lpdquadtsx-ll_lazy_0_stats                                                                      lpdquadtsx-ll_pugh_0_stats                                                                      
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       1.000000    16171       16171       0           0           0           0           0           1.000000    2737        2737        0           0           0           0           0           0.999069    17167       17183       2           0           18          0           0           0.999093    17625       17641       1           0           17          0           0           
8       0.997837    51217       51328       43117       263         43118       263         110         0.988321    13370       13528       13527       244         13527       244         158         0.993957    51649       51963       29220       559         29293       589         211         0.994566    53264       53555       20580       304         20688       318         169         
16      0.994287    79538       79995       71791       972         71791       972         457         0.977006    22774       23310       23310       836         23310       836         536         0.990121    82386       83208       49957       1285        50229       1342        493         0.988378    83346       84326       50787       1464        51118       1511        602         
24      0.992122    101759      102567      94358       1811        94358       1812        807         0.971252    29596       30472       30470       1439        30470       1439        876         0.987642    104771      106082      64796       2167        65144       2244        886         0.984808    105079      106700      65750       2427        66075       2480        1243        
32      0.992362    122128      123068      114853      2898        114854      2898        939         0.965691    35859       37133       37132       2474        37133       2474        1273        0.985314    129954      131891      82711       3758        82841       3850        1715        0.986101    125931      127706      79834       3555        80064       3618        1482        
40      0.991396    137456      138649      130431      3568        130431      3570        1191        0.960152    42504       44268       44268       3165        44268       3165        1764        0.982465    145953      148558      94011       5026        94163       5129        2350        0.981603    146783      149534      94564       5271        94892       5337        2357        
48      0.989967    162317      163962      155569      4267        155569      4267        1645        0.960117    45234       47113       45163       3995        45163       3995        1879        0.978902    159052      162480      103401      6621        103648      6716        3086        0.979611    160858      164206      104580      6725        104791      6797        3065        
56      0.989814    168597      170332      162111      4591        162112      4592        1733        0.951983    51310       53898       53898       4759        53898       4759        2588        0.975631    176518      180927      115950      8022        116265      8125        3991        0.976323    189554      194151      124819      9299        125054      9374        4287        
64      0.988615    188954      191130      182906      5655        182910      5656        2171        0.944828    53961       57112       57111       5642        57111       5643        3150        0.972719    194181      199627      128734      9889        128993      10002       5074        0.974842    194597      199619      128639      9655        128865      9730        4721        
72      0.988414    198089      200411      192198      5825        192201      5826        2318        0.939957    59519       63321       63321       6324        63321       6324        3802        0.971319    207805      213941      138463      11015       138695      11116       5803        0.972551    206951      212792      137660      10566       137929      10628       5510        
80      0.988585    201614      203942      195721      5945        195728      5947        2319        0.938020    62096       66199       66199       6865        66199       6866        4102        0.969239    216593      223467      145044      12562       145254      12661       6565        0.969677    220007      226887      147292      11973       147677      12047       6421        
88      0.987345    218384      221183      212959      6766        212965      6769        2790        0.933133    65519       70214       70213       7783        70213       7783        4695        0.969116    211213      217944      141372      13030       141606      13155       6372        0.967258    231369      239201      155907      13892       156285      13977       7369        
96      0.985403    233853      237317      229098      8055        229100      8059        3458        0.930534    67246       72266       72265       8290        72265       8291        5019        0.964995    235371      243909      159149      15570       159557      15690       8010        0.966947    241791      250056      161659      15223       161852      15307       7988        
