### params -i65536 -r131072 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-sl_herlihy_0_stats                                                                   lpdquadtsx-sl_fraser_cas_0_stats                                                                lpdquadtsx-sl_fraser_tsx_0_stats                                                                lpdquadtsx-sl_pugh_0_stats                                                                      
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.998695    655651      656508      0           0           857         0           0           1.000000    966549      966549      4           0           4           0           0           1.000000    547242      547242      0           0           0           0           0           0.999975    1067568     1067595     1           0           28          0           0           
8       0.995195    3815326     3833748     1842343     604977      1844503     606395      14844       0.999291    5370912     5374722     3064591     5676        3065692     6432        1953        0.999113    3397667     3400685     1587504     3998        1588467     4668        1385        0.978168    5776674     5905608     1923401     559502      1925246     559762      126829      
16      0.991863    7030781     7088458     3449598     1131281     3455515     1134432     48609       0.998503    9720063     9734633     5614790     21785       5618935     24447       7763        0.998065    6427904     6440365     3031108     15575       3035125     18090       5929        0.977527    10605594    10849408    3603847     1054455     3604889     1054721     242506      
24      0.989314    10223738    10334167    5068600     1690234     5078862     1695606     94795       0.997666    14311037    14344524    8291507     49198       8301013     55171       18008       0.997181    9301310     9327601     4398150     29455       4407411     35378       11107       0.974888    15055871    15443699    5164225     1573867     5167225     1574625     384070      
32      0.985823    12103035    12277088    5979917     2385017     5997052     2393331     148604      0.997192    17680465    17730254    10190166    73789       10204418    82110       27216       0.996439    11663507    11705187    5505500     43795       5521204     53072       16699       0.974000    19600248    20123450    6808256     2075611     6812205     2076534     518330      
40      0.983036    14446058    14695349    7244394     2869998     7265799     2879956     217928      0.996467    21858526    21936036    12768943    103503      12792972    117858      39126       0.995785    14055664    14115157    6648347     60272       6671321     73563       23228       0.970714    22160301    22828865    7777824     2457762     7784237     2459752     660161      
48      0.979240    16528006    16878400    8343218     3508461     8369642     3521088     311343      0.996111    23731409    23824067    13846874    118339      13877390    135934      44547       0.995130    15486736    15562521    7362915     73767       7392760     90136       29571       0.967446    25429127    26284815    9033586     2986251     9043608     2989549     842368      
56      0.976014    18376099    18827695    9345698     4048047     9376458     4062184     406699      0.995855    24747817    24850814    14387664    132372      14421128    149796      52109       0.994548    17228300    17322746    8191542     90576       8228918     110358      37288       0.966868    25246696    26111835    8978828     2928068     8989859     2931463     850713      
64      0.974033    20633188    21183251    10583209    4445398     10617236    4460025     501409      0.995284    28014376    28147110    16398271    159222      16444485    183992      61750       0.994115    17809029    17914451    8473196     97603       8516268     118844      41109       0.965148    28364331    29388585    10178988    3339932     10196553    3344499     1002122     
72      0.970611    21389716    22037381    11024087    4871853     11061114    4888655     593836      0.995142    28317019    28455252    16535933    166049      16584474    190975      64766       0.993669    19174242    19296407    9128503     107350      9179769     132614      45635       0.963490    32687115    33925742    11860993    4009129     11876679    4014011     1218059     
80      0.968011    22565554    23311257    11585403    5290305     11628361    5309348     683702      0.994623    30895902    31062924    18097139    190645      18158164    221301      75341       0.993048    20286371    20428384    9684152     122402      9744546     152011      52010       0.963237    33264181    34533728    12056343    3997214     12077018    4003186     1242900     
88      0.964975    22216375    23022743    11536305    5391615     11583461    5411134     739693      0.994449    31999303    32177916    18746967    202632      18813166    235743      79303       0.992706    20715476    20867685    9892946     126276      9959271     157998      54162       0.962172    33286955    34595637    12103886    4044280     12124757    4050934     1281157     
96      0.964039    23929499    24822128    11927080    5680173     11976119    5702301     821462      0.994023    33755352    33958330    19804585    228730      19880766    266980      88547       0.992147    22275894    22452220    10653217    145700      10730503    182639      62101       0.960435    36282835    37777486    13294269    4468409     13322544    4477030     1457755     
