### params -i1024 -r2048 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       9974934      9486668      8626421      8396565      8337074      
8       18454844     19977071     17271550     16373592     16505828     
16      39102198     33899797     32658839     32179912     30052014     
24      50861058     51301878     51713205     49447028     43657856     
32      65442395     63779656     60919512     57531434     59316368     
40      77737754     75284031     72224383     70018948     71069733     
48      81033322     80555756     85028487     81762942     77535255     
56      85477976     87500494     90339783     83707726     85155421     
64      95410865     97621845     93164672     83000057     88755936     
72      103923589    99520754     93963699     95355729     98722650     
80      106227592    98342652     95433760     89881039     85579995     
88      103169741    104911792    106265437    105231853    108537884    
96      92330018     95614423     102778400    96779346     84035783     
