### params -i8192 -r16384 -u20 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       29734998     28197602     28052169     26762613     46752747     45797769     33808758     32448635     41775780     40853415     
8       94565179     88533500     97876663     86053018     98328267     90379843     105564496    86587782     269058045    263293201    
16      177163198    174266591    171912439    161555196    160861163    154849528    199060949    176576075    325497218    316865991    
24      251150989    251831271    255049179    240539947    213100713    212651027    285303520    235326430    445407912    428891841    
32      308620653    317420114    310576582    290339382    245468697    257675208    349962274    292207836    512724988    505753489    
40      361542174    366782109    358944523    350695889    269425903    262627318    388170048    331793260    593508861    579598572    
48      401616145    394408939    381531564    384182997    286696209    282554100    422131001    355998202    662388236    662058026    
56      434225518    451892126    424620516    406926058    294292716    274042242    438572986    383654181    731976712    717713390    
64      395469917    452799021    461026964    455504314    277951745    309727592    470542879    369421205    769065561    761056768    
72      449261589    400550153    434660913    458635837    292720884    274095793    437955755    404957639    812234248    784614284    
80      385033945    366673324    460347354    466856971    201344290    291370613    336754785    357715584    845937960    817173456    
88      455727808    449349979    534197759    498926384    215078959    274531279    445090627    287241814    878495072    845453893    
96      409804989    210594769    479432894    391732281    167421897    199066036    273695036    62642503     904202648    870197432    
