### params -i8192 -r16384 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       23360        27453        27688        26966        30930        29478        26554        
8       154882       149472       147718       154420       162636       160191       165202       
16      235164       247378       241838       268040       264814       265604       260378       
24      324002       332506       335104       360352       337706       352236       356717       
32      392619       413094       399475       439727       433877       446784       438332       
40      486363       475204       470036       498036       495723       505006       506708       
48      535985       499308       539462       581240       569396       572282       546722       
56      599347       579164       595370       616393       600756       628480       634960       
64      629121       633408       626168       682588       668698       665428       666031       
72      643147       661791       657601       676122       695704       697901       661384       
80      674418       673650       669757       761134       745039       691527       742214       
88      697836       697988       696936       749950       762912       734045       738430       
96      733104       754834       741804       833130       809698       790841       804682       
