### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       7270074      7226131      6386026      6240730      6114088      7852571      7775049      
8       19558062     17094397     19847859     17912391     18230408     21526994     19097405     
16      31722872     25020449     29525409     27509934     27755525     32223752     30284534     
24      41083119     33433266     39075539     37013990     37790717     41167329     34776947     
32      46979778     34891145     43691127     41701236     41025533     44821959     42649161     
40      53124986     38020741     46200279     45296113     43933177     50347678     43729450     
48      55748869     40369065     51876180     46341258     47619467     55240734     46790947     
56      58994979     40198435     52596600     48741674     48329353     56712691     48979153     
64      59886094     40301302     55519026     51709725     50997996     54438681     51176678     
72      54120039     36015584     55025827     50611623     51776529     50662040     50023614     
80      56695819     36073836     55519675     51971761     52639809     48400967     34551672     
88      46477423     34734598     56331731     53967524     51649478     44330273     27223613     
96      51326983     32111648     58138680     52213549     51729079     49839224     31760899     
