### params -i8192 -r16384 -u40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_lazy_0 
#cores  throughput   throughput   throughput   
1       24693208     24458672     23750938     
8       73209174     65076710     11214131     
16      129233548    125044787    10454616     
24      198131505    184597738    12188603     
32      225972424    221651410    13247504     
40      259675320    252219672    12725916     
48      306024287    277905286    12685557     
56      282507393    319215841    12787698     
64      343343247    329213777    14137537     
72      340361964    349958298    13913626     
80      289328735    371316343    14372612     
88      244618842    344222464    14747961     
96      64724514     349274240    14845287     
