### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       27795        25526        24568        24352        27550        
8       137856       138429       150099       148900       135383       
16      225979       228336       249185       242502       226909       
24      302319       306033       323796       322758       313587       
32      383342       375167       402829       402991       378565       
40      440686       445382       462786       451839       447723       
48      481924       487497       519381       517200       495928       
56      532435       549991       587072       567259       537368       
64      544058       591364       631110       593206       532660       
72      633731       565171       634392       639714       618937       
80      650222       666347       610792       686151       603187       
88      636173       704442       716525       736384       586347       
96      738432       698494       711681       738527       735253       
