### params -i65536 -r131072 -u40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       2724645      2704148      2411892      2412219      2469164      
8       13539990     4234276      12201891     6915648      9489558      
16      24468016     5162058      25017008     7870838      13319225     
24      37163771     5077393      33725936     8142400      17540301     
32      43314436     5912287      44066740     9350419      13148038     
40      50273813     5633532      49710748     9808512      14491959     
48      57387004     6530187      52175328     9661170      15648355     
56      57155912     7338394      57806402     10818029     16268146     
64      62190829     6751074      56290112     11237327     15700311     
72      68363222     7055936      67506549     11604231     15976291     
80      74798884     7664254      55977609     11261015     16640666     
88      61937497     7858742      66653805     11348006     16782942     
96      60742415     7627259      61061874     11463740     17407649     
