### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-bst_tk_0_stats                                                                       lpdquadtsx-bst_aravind_cas_0_stats                                                              lpdquadtsx-bst_aravind_tsx_0_stats                                                              
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       1.000000    4310959     4310959     10          0           10          0           0           1.000000    7124826     7124826     14          0           14          0           0           1.000000    5482284     5482284     22          0           22          0           0           
8       0.992373    10633773    10715504    8098045     112749      8107584     138627      46314       0.996104    18100659    18171450    10363112    70794       10390167    93953       20577       0.992296    13533022    13638093    10519572    110905      10548710    138190      48648       
16      0.984606    18330784    18617389    14275479    378046      14310970    472855      156305      0.991133    32241241    32529678    18116617    301757      18217486    393068      96257       0.983292    23955264    24362317    18525946    418100      18643253    523354      184492      
24      0.975967    26207851    26853224    20676320    828533      20754388    1049116     346722      0.986627    47008268    47645419    26574558    645781      26800498    845517      211475      0.975030    36759725    37701134    27266596    967107      27549666    1207410     418036      
32      0.968208    35144145    36298125    26331042    1547989     26472207    1935730     625074      0.982304    63028615    64164036    34212108    1123950     34625074    1488580     357825      0.967521    47169044    48752457    34877857    1591885     35360129    1994239     698787      
40      0.959876    40882645    42591567    31616549    2192621     31819308    2781041     917743      0.977131    74222526    75959614    42432182    1643603     43046874    2200503     565496      0.958993    57262350    59710899    42080295    2361090     42851312    2998758     1039864     
48      0.954579    44740865    46869737    36193552    2579017     36457892    3312561     1130988     0.973224    83583992    85883643    47482592    2106311     48297845    2843071     747638      0.950746    67532774    71031377    49793140    3277961     50919060    4194844     1455800     
56      0.946179    50005595    52850015    40532711    3412838     40894256    4380527     1515186     0.968630    93855228    96894839    54657566    2733555     55732646    3712593     985493      0.943999    72073896    76349521    54518647    3934149     55880789    5060188     1787444     
64      0.940398    53566792    56961822    44158084    4004945     44609324    5227617     1721118     0.963844    104214767   108124068   61077517    3456187     62445692    4694043     1303270     0.936197    79843934    85285356    61792285    4908851     63508632    6327935     2305991     
72      0.932344    58071557    62285530    47726269    4921719     48257073    6360194     2244694     0.959955    112218014   116899302   68368856    3967059     70018238    5421779     1577186     0.928222    85120591    91702812    67910598    5758008     69948354    7437504     2864969     
80      0.928873    58274435    62736677    50303646    4969307     50880747    6514095     2340353     0.956844    114852340   120032505   70325692    4353341     72141699    6000455     1717044     0.919959    92772191    100843836   74894800    6964333     77401185    9064024     3465569     
88      0.930136    53347809    57354869    44902729    4451889     45481071    5823155     2057452     0.951529    125419820   131808723   77757972    5267139     79993173    7291661     2129180     0.916297    91756461    100138322   74840819    7144208     77430633    9304618     3631637     
96      0.919278    62202722    67664717    52375391    6162404     53085454    8059428     2854908     0.952380    121724485   127810822   75317445    5021775     77467052    6948259     2010246     0.910427    95026687    104375995   77951792    7916279     80837084    10298682    4081613     
