### params -i65534 -p50 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-bst_tk                                                                               
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       1.000000    131065      131065      2           0           2           0           0           
8       0.999985    131071      131073      50696       12          50696       12          2           
16      0.999954    131069      131075      55610       35          55610       35          6           
24      0.999939    131071      131079      54501       23          54504       26          2           
32      0.999924    131067      131077      52491       22          52494       22          7           
40      0.999893    131068      131082      48825       40          48832       42          5           
48      0.999870    131064      131081      53855       70          53861       72          9           
56      0.999893    131065      131079      54596       49          54599       53          7           
64      0.999886    131069      131084      51829       82          51832       88          6           
72      0.999939    131070      131078      51546       43          51547       46          4           
80      0.999886    131067      131082      53143       45          53145       50          8           
88      0.999878    131063      131079      55953       86          55957       86          12          
96      0.999931    131068      131077      51929       50          51932       51          5           
