### params -i65536 -r131072 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ht_lazy_0_stats                                                                      lpdquadtsx-ht_harris_0_stats                                                                    lpdquadtsx-ht_java_0_stats                                                                      lpdquadtsx-ht_copy_0_stats                                                                      lpdquadtsx-ht_clht_0_stats                                                                      
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999797    4406383     4407278     33          0           928         0           0           0.999605    3881542     3883076     1568        1534        1568        1534        1534        1.000000    4291851     4291851     33          0           33          0           0           0.999208    3196344     3198876     182         0           2714        0           0           1.000000    4333435     4333435     23          0           0           0           0           
8       0.998030    17433008    17467422    10398328    68794       10405678    70161       25697       0.999853    14196465    14198549    12979297    4470        12979398    4665        1788        0.941442    10822070    11495202    10251997    438327      10607816    508794      246846      0.994112    10872385    10936781    10785487    221638      10799777    223319      48425       1.000000    29588492    29588496    30992       0           0           0           0           
16      0.997016    34988082    35092785    20643902    205922      20669041    209779      75707       0.999797    26988378    26993865    24947370    12356       24947743    13111       4359        0.871000    18942627    21748142    18850168    2365141     20105321    2633417     1282086     0.992173    21064427    21230597    20948209    588726      20993113    591329      118663      0.999532    38023303    38041120    31888247    174         5632        178         68          
24      0.996370    49855437    50037067    29603861    410887      29647714    417005      131659      0.999728    42375915    42387457    37668730    33874       37669640    35492       9014        0.814743    24033603    29498389    24904654    4246331     27442039    4790730     2383002     0.990042    31193567    31507315    31092852    1148268     31180458    1152375     222035      0.999095    53906318    53955155    49073564    568         22858       594         224         
32      0.995626    61901893    62173830    36793721    652846      36880890    663086      174528      0.999667    51233774    51250822    46802654    44641       46804169    47316       12858       0.775653    27551692    35520656    29341375    5658234     33183273    6468040     3317260     0.987568    39436437    39932872    39184014    1687310     39389888    1707118     270753      0.998898    64762044    64833516    60440193    955         38382       983         425         
40      0.995123    72551822    72907366    43097681    971292      43246022    989002      189493      0.999678    58532275    58551149    53042820    57151       53045035    60360       13450       0.723098    30808909    42606811    34321391    7777895     40126233    8935246     4835709     0.984658    44558630    45252913    44406135    2626244     44693188    2681004     352470      0.998748    74407982    74501256    69742567    1482        53111       1522        668         
48      0.994533    78304549    78735000    46252477    1256798     46470594    1285969     183163      0.999628    68950125    68975752    63570979    80887       63574208    85813       17472       0.710776    32438596    45638263    35821810    8140028     42778759    9441517     4941229     0.980508    49489840    50473666    49366440    3563272     49725980    3709721     477837      0.998542    85903244    86028667    81142190    1949        73887       1990        883         
56      0.994555    86466616    86940007    51376432    1675920     51587602    1702199     235942      0.999605    72757823    72786605    66824442    98480       66828516    103803      19385       0.678439    33176443    48901134    37052054    8883072     45822097    10443191    5394529     0.975874    52740033    54043896    52481592    4852630     52892991    5111447     633647      0.997100    93633388    93905720    88269558    2564        98087       2692        1044        
64      0.994256    94380397    94925680    56061699    2219299     56343111    2256498     226672      0.999530    80006250    80043893    74158660    134596      74163668    141342      25889       0.609376    31167956    51147309    36478943    9066143     48626324    11139029    5759086     0.974178    58163953    59705700    57735927    5752816     58184845    6055660     789985      0.995511    101945907   102405553   96567603    3160        130001      3358        1193        
72      0.993846    91914125    92483282    54590387    2438008     54896329    2479172     222051      0.999524    85798659    85839536    79696435    156366      79702558    163940      27180       0.621043    32029406    51573543    37478571    9450683     48975066    11548585    5949740     0.971889    60605865    62358830    60004978    6314856     60520310    6635123     917366      0.993258    109227050   109968415   104095680   3772        167636      4151        1413        
80      0.993850    85383671    85912031    50769011    2405296     51021327    2448086     233254      0.999462    92517776    92567580    86206664    214783      86213965    224092      33194       0.591615    32658836    55202875    39132874    10381058    52607301    12845084    6605586     0.973160    34247354    35191899    33065268    2893704     33285277    3082104     536136      0.991740    114879935   115836713   109442761   4161        187552      4694        1439        
88      0.993568    65783564    66209400    39045678    1995573     39262306    2035336     169445      0.999461    94926383    94977616    88536865    269874      88545123    279498      33351       0.589760    35269512    59803163    42288014    11341587    57093223    13954070    7115959     0.969769    49814687    51367587    48492211    4739373     48859007    5064132     861345      0.989368    121419343   122724097   116250100   5029        230504      5815        1588        
96      0.993159    105856078   106585223   63080553    3861748     63465613    3926212     279621      0.999465    92927848    92977590    86622524    357482      86630894    366864      31990       0.536806    32967665    61414493    40307331    10776722    58823484    13981835    6725562     0.968451    39714941    41008711    38660866    3873899     38977632    4158831     692072      0.986938    126385706   128058399   121204441   5600        266999      6690        1699        
