### params -i64 -r128 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0                                                                      lpdquadtsx-ll_harris_tsx_0                                                                      lpdquadtsx-ll_lazy_0                                                                            
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999999    5504489     5504497     0           0           8           0           0           1.000000    1861982     1861982     5           0           5           0           0           0.999990    7378248     7378325     0           0           77          0           0           
8       0.845340    6818810     8066354     7657686     1170739     7890583     1337490     847896      0.680042    1745534     2566803     2544883     880934      2549235     903986      793865      0.726497    4623582     6364213     4835560     2033150     4851788     2036752     1720801     
16      0.747146    8296046     11103655    10345401    2656095     10821973    3035192     1951940     0.594827    1964715     3303003     3267011     1433386     3276711     1481349     1280625     0.676076    5359428     7927252     6139355     2950613     6176069     2958140     2523583     
24      0.711152    9600483     13499896    12418876    3418806     13168473    4012734     2555888     0.550181    2177392     3957589     3910752     1881797     3927345     1957459     1687942     0.659169    6925163     10505905    8090903     4192442     8155607     4206509     3501971     
32      0.684424    10894130    15917234    14369345    4429967     15402731    5203401     3216284     0.527553    2377980     4507563     4440042     2268643     4464941     2368783     2004544     0.642606    7440177     11578127    8924905     4806787     9013970     4825845     4029827     
40      0.665139    11724043    17626442    15816336    4728588     17164186    5737678     3545459     0.506950    2377883     4690570     4631241     2393246     4659356     2512812     2165006     0.632594    7605381     12022527    9282978     5068454     9392245     5090205     4286128     
48      0.654776    12656922    19330162    17131942    5193160     18761865    6355781     3880696     0.490429    2581110     5262966     5179394     2796077     5217936     2942745     2496646     0.620187    8103675     13066501    10102347    5672732     10237377    5700251     4800277     
56      0.645676    13130015    20335310    17914673    5292620     19801261    6619582     3991745     0.478632    2748696     5742814     5642750     3090008     5691972     3266973     2767931     0.613785    8448025     13763828    10618792    6045144     10777856    6076408     5125475     
64      0.633798    13789942    21757612    18983169    5750676     21143063    7227605     4330847     0.466461    2743448     5881409     5781855     3194561     5836186     3388891     2889300     0.604203    8684305     14373166    11073367    6437346     11256205    6473063     5470306     
72      0.624827    14567213    23314001    20150464    6077989     22660038    7748422     4566781     0.456573    2949975     6461126     6337240     3569790     6404323     3800333     3213525     0.599799    6330502     10554367    8094342     4776010     8239976     4804359     4049882     
80      0.618424    14978075    24219760    20822670    6023694     23634667    7880951     4572431     0.448889    2824748     6292760     6181314     3476571     6248548     3707118     3170231     0.594456    9279116     15609434    11966692    7120589     12197173    7165244     6055182     
88      0.613877    14735380    24003813    20608569    6185063     23379375    7992807     4689883     0.442535    2922341     6603642     6478870     3674016     6555260     3928324     3350603     0.589597    6033396     10233082    7831004     4716535     7989000     4746570     4011655     
96      0.606113    15428384    25454612    21615987    6301113     24818103    8349301     4775924     0.436848    2919418     6682920     6555306     3748045     6634335     4010215     3422303     0.587521    8317606     14157132    10791455    6548647     11026302    6593808     5559518     
