### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-sl_herlihy_0                                                                         lpdquadtsx-sl_fraser_cas_0                                                                      lpdquadtsx-sl_fraser_tsx_0                                                                      
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999243    2293373     2295111     3           0           1741        0           0           0.999998    2919844     2919851     0           0           7           0           0           0.999998    1917741     1917744     0           0           3           0           0           
8       0.995500    10388832    10435797    4856086     1391834     4862321     1395784     36780       0.999407    14369282    14377810    7736178     12221       7738606     14326       3995        0.999271    9490762     9497682     4217243     7708        4219468     9784        2619        
16      0.992147    19313847    19466721    9048184     2834954     9068915     2845217     121880      0.998619    26746786    26783776    14366741    52802       14376289    60514       19730       0.998333    18323086    18353687    8099004     35565       8108348     42953       13869       
24      0.989991    29929790    30232376    13717569    4466066     13756168    4484654     245399      0.997977    39217752    39297265    21131419    110392      21153081    126597      41646       0.997615    26457764    26521029    11533190    69473       11554336    85796       25796       
32      0.987193    36168113    36637317    16942235    5871696     16996402    5896214     390519      0.997478    50096319    50223001    27010534    162528      27050251    191208      58285       0.996675    34220607    34334765    15241198    117097      15279502    145241      47710       
40      0.983793    42563961    43265159    20029227    7450907     20110066    7485780     585486      0.996815    60368259    60561168    31997199    241296      32057547    282059      91798       0.996124    39175785    39328226    17044712    148259      17098694    185834      60884       
48      0.981042    47485664    48403303    22634756    8599697     22740993    8644963     766136      0.996242    66659268    66910702    35751636    286308      35832338    344922      112118      0.995452    45394731    45602114    19655902    191316      19731007    243433      80161       
56      0.978331    49710254    50811275    23204408    9341698     23345061    9401655     900411      0.995843    70374260    70668012    37851630    314933      37952261    385367      122687      0.994913    45714978    45948736    19861313    196394      19946438    260279      84748       
64      0.976044    53226074    54532449    25775122    10215186    25909252    10271834    1115597     0.995355    80096636    80470416    43707170    378233      43839783    471500      147900      0.994366    50612275    50899061    22247832    233693      22357739    310615      99957       
72      0.972623    56951295    58554327    27502742    11436854    27670745    11507719    1364164     0.994861    83448247    83879287    45090376    409303      45244089    523669      162961      0.993569    57263962    57634583    25480321    284692      25626718    387819      121097      
80      0.969839    63504432    65479377    31227343    13065332    31402792    13139268    1725560     0.994296    93787227    94325224    51346250    508321      51543229    640605      208734      0.993024    61759853    62193705    27650955    324578      27827734    442696      138955      
88      0.966393    68235346    70608287    33582733    14520597    33797082    14609565    2069624     0.994125    95575723    96140520    52240412    513480      52454253    653647      210789      0.992642    62709777    63174595    28081810    339628      28271413    466966      147877      
96      0.963771    63862279    66262954    31267947    13874674    31485623    13969940    2087733     0.993693    89922953    90493724    49015842    478096      49225044    641313      198352      0.992108    64376576    64888695    28850478    357229      29057456    506508      155862      
