### params -i1024 -r2048 -u60 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       10306081     10213049     8737915      8252661      8852802      
8       24350523     21862008     20575780     19288936     19712375     
16      41298743     40063041     38275996     35684336     35588074     
24      60784240     59328212     54583268     52095516     50138941     
32      78830982     73162839     70969652     67419059     64002637     
40      88872888     87020406     82839502     79083729     77915042     
48      98803901     97177595     92695492     90653633     85923938     
56      106409745    107222347    103115612    97249128     99574909     
64      111714190    111177263    105163719    107454200    108122718    
72      118069538    121276762    114575892    107778057    108489556    
80      115291202    125108700    103237289    114158385    109258727    
88      118627601    123077950    117838390    112731853    101673640    
96      130430269    128740161    100025157    93570723     115365727    
