### params -i65534 -p50 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ././bin/lpdquad/lb-bst_tk       ./bin/lpdquad/lf-bst_aravind    ./bin/lpdquad/tsx-bst_tk        
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       2867733     100.00  1           2851384     100.00  1           2874189     100.00  1           
8       22045102    96.09   7.69        20865563    91.47   7.32        21757702    94.63   7.57        
16      42950150    93.61   14.98       41819098    91.66   14.67       42947150    93.39   14.94       
24      62976530    91.50   21.96       61512893    89.89   21.57       63580290    92.17   22.12       
32      84217570    91.77   29.37       80993884    88.77   28.41       82204730    89.38   28.60       
40      101965383   88.89   35.56       100115802   87.78   35.11       101988940   88.71   35.48       
48      119974090   87.16   41.84       119219770   87.11   41.81       120385870   87.26   41.89       
56      137362089   85.53   47.90       139351168   87.27   48.87       139447648   86.64   48.52       
64      159216198   86.75   55.52       157812732   86.48   55.35       153447000   83.42   53.39       
72      172560994   83.57   60.17       168477989   82.06   59.09       169362928   81.84   58.93       
80      177624356   77.42   61.94       188925885   82.82   66.26       183911832   79.98   63.99       
88      201372318   79.80   70.22       191389361   76.27   67.12       201549487   79.69   70.12       
96      212216448   77.08   74.00       213371581   77.95   74.83       206948378   75.00   72.00       
