### params -i65534 -p60 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk lpdquadlf-bst_aravind lpdquadtsx-bst_tk 
#cores  throughput   throughput   throughput   
1       3027080      2773504      3002415      
8       22606915     21697936     22180760     
16      42035087     40944609     42778397     
24      64382141     60511827     63418140     
32      83568714     81986323     84533032     
40      104763986    100809231    102866550    
48      118731124    119958502    118291366    
56      141503718    133292717    139753190    
64      153417105    153601006    152977865    
72      164330207    166323285    174300614    
80      191498828    183875929    186522036    
88      199736513    192590248    205932402    
96      203767091    212928218    209737551    
