### params -i65536 -r131072 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_lazy_0 
#cores  throughput   throughput   throughput   
1       25611836     24463708     24652859     
8       78572710     76950570     77839004     
16      151548166    148404812    164881362    
24      229864456    218762090    227803972    
32      286615350    268150966    286117936    
40      324654554    312671242    341698766    
48      357216993    334270200    371588992    
56      394198259    387646098    392835662    
64      390710766    413819182    445871522    
72      438797406    394198188    440753458    
80      446519483    462274232    414990136    
88      423660996    457742142    376373790    
96      233866316    471849444    153566364    
