### params -i8192 -r16384 -u60 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       21499890     19829267     20746440     19638851     33690461     31892586     23426063     21522655     31338987     29841544     
8       58152019     50703146     49983562     47885283     53557196     51091418     55194581     45526202     181532088    176115730    
16      101901357    99578799     97574783     98058236     95104278     86331518     103468264    87276309     220950753    201052501    
24      149954144    146850592    150808750    139271446    122848401    110754628    148023534    123497442    271781527    248993690    
32      185773090    177269748    176571586    173173886    133766533    133745115    168143062    148190034    313699309    291416030    
40      212101687    200462455    200893960    193933720    145042821    134905469    188720015    166592727    349140102    326206541    
48      236628255    226291358    223625311    214560373    150093085    146259930    206864893    175318254    373954364    354565513    
56      237552322    246517843    242633571    230187872    124761360    139010888    204236851    163622450    377598473    378271017    
64      245535034    250454602    262137168    245769057    59255446     65995913     228691413    193326487    391389259    387293363    
72      249309698    251762828    265289024    248460715    53279974     54978460     234252573    212783331    407552314    393233587    
80      293550911    251106885    269433681    220828094    47685832     48216990     234542277    158668507    405783804    394709113    
88      265347699    247833868    274868726    248476427    40297737     41864650     184140908    183326248    414137546    389872070    
96      75969538     89715051     270209202    229927728    28012464     37236375     69107872     110583398    409134931    396302248    
