### params -i1024 -r2048 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadlf-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       402030       392146       478124       479098       380185       
8       1525428      1447971      1679700      1597429      1471623      
16      2658146      2825523      2932738      2978714      2608729      
24      3882894      3888022      4237356      4350702      3897006      
32      5108857      4968745      5255020      5301970      5043648      
40      5605782      5480824      6056516      6115516      5682076      
48      6357514      6146549      6564986      6773693      5948071      
56      6833470      6802034      7228122      6866546      6518264      
64      7003599      7183276      7547578      7287198      7163496      
72      6886660      7317765      7637094      7597271      7586436      
80      7739083      7520770      8044325      8497735      6641792      
88      7686524      7997552      7908414      8164875      8113958      
96      8066134      8069310      8384852      8422882      7777090      
