### params -i8192 -r16384 -u60 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       22992        25758        25706        26072        28530        29390        29354        
8       125272       128361       125955       140767       143979       142920       140404       
16      206163       206782       207252       232486       234328       224247       231214       
24      285550       290300       282252       320078       314984       319925       319324       
32      356224       352706       347432       393198       393640       383766       380434       
40      414442       410856       426130       473550       463271       459670       462067       
48      450260       462318       462033       508516       530465       519669       518394       
56      513512       518058       512902       570346       580337       574492       559498       
64      545096       563490       574564       626814       626264       610296       583921       
72      602385       615128       615702       645814       646228       640176       695832       
80      616225       644392       644154       663194       661581       682451       702684       
88      681594       641014       661081       737555       746001       728857       727452       
96      668972       687929       728690       775481       749669       733958       791454       
