### params -i1024 -r2048 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       9228692      8939220      7462536      7476243      7880028      8954486      9015209      
8       39079603     35659155     33816450     33981460     33812589     37097414     35661566     
16      63439138     53624046     52642489     52722620     54300177     59273539     55811585     
24      79874612     64459038     70138506     68377802     68403065     76301332     71280850     
32      94270228     71800979     78228695     77536205     78214359     89078852     77571504     
40      103040675    80543168     85592395     85268006     85556208     99257643     89023988     
48      111764620    85015965     97692135     92579112     92217939     105432618    91891636     
56      122450922    87762834     100537537    96153391     95623799     108094271    97491696     
64      121775078    90952397     108346178    99618490     97162919     107273400    97892911     
72      126910894    92529299     110562104    103322712    102679332    100428937    102733446    
80      117149237    95964597     111929837    104103293    104235937    99631780     86642770     
88      116986292    66348597     112464502    104592417    100301845    116537667    64435583     
96      70882206     73232845     117774531    93116995     105836316    23106977     29241201     
