### params -i65536 -r131072 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       2780455      2778218      2503130      2526748      2588386      
8       15634714     16495496     14963023     15284338     15381486     
16      29593044     30879767     27616354     28533106     29227840     
24      43085288     45072935     40201908     43047290     43116648     
32      55044736     57586520     51944971     54100825     55348812     
40      65561364     64752903     55403990     59619142     61742478     
48      73286748     72939666     67211936     68593877     67481173     
56      78294582     82345233     68835182     71786522     75543186     
64      84682072     80818527     74827695     80748949     79099076     
72      89309396     93429135     84464096     88978478     94800408     
80      95711094     103015092    80351008     93220338     93670396     
88      103723553    105691404    87666170     98022368     97204960     
96      104905274    106246006    87237430     97306284     94592200     
