### params -i65536 -r131072 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-bst_tk_pf2_stats                                                                     lpdquadtsx-bst_aravind_cas_pf2_stats                                                            lpdquadtsx-bst_aravind_tsx_pf2_stats                                                            
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999996    228256      228257      0           0           1           0           0           1.000000    349189      349189      0           0           0           0           0           0.999993    290856      290858      0           0           2           0           0           
8       0.999556    1120852     1121350     996010      188         996354      274         68          0.999895    1943894     1944099     1315717     170         1315795     256         41          0.999724    1493399     1493812     1341857     263         1342047     350         136         
16      0.999473    2244121     2245304     2058600     805         2059372     928         288         0.999841    3725529     3726123     2600720     768         2600897     935         250         0.999616    2931465     2932592     2663014     1387        2663522     1508        498         
24      0.999310    3176564     3178758     2900786     2374        2902110     2574        670         0.999744    5838537     5840035     3820055     4350        3820751     4575        577         0.999488    4329770     4331990     3953615     3345        3954621     3572        987         
32      0.998840    3962610     3967211     3630231     3552        3633789     3852        743         0.999666    7240833     7243251     5013841     4817        5014704     5096        1276        0.999074    5638595     5643822     5272353     7089        5274342     7424        2903        
40      0.998068    4835064     4844422     4423135     5314        4430877     5816        1114        0.999543    8908650     8912720     6166039     7201        6167534     7599        2177        0.998715    6750122     6758804     6114070     8773        6119429     9167        2929        
48      0.997631    5569042     5582268     5135694     6286        5145806     7343        2057        0.999429    9481862     9487279     6525349     5435        6527343     7312        1546        0.998454    7728267     7740232     7093765     10212       7100778     11133       4031        
56      0.997150    6053685     6070987     5590237     7037        5602038     9953        2585        0.999254    11737623    11746384    8159300     8328        8162234     11405       2750        0.998264    8684740     8699842     8012655     10672       8020802     13228       4399        
64      0.997071    7355641     7377251     6883691     10193       6899956     11840       3698        0.999070    12537441    12549107    8693147     9777        8697030     14303       3257        0.998006    9740448     9759913     9055585     12617       9065805     16392       5470        
72      0.995998    7585986     7616466     7073529     9554        7093298     16585       3680        0.998876    13195035    13209883    9189736     10628       9193985     17413       3814        0.997461    10798570    10826060    10042801    16331       10055096    24171       7355        
80      0.995619    7678357     7712144     7162544     10242       7183185     19273       4115        0.998867    16107840    16126105    11306465    14185       11311784    22072       5059        0.997406    11709758    11740208    10917781    18784       10932404    26016       8595        
88      0.995195    8003424     8042066     7496815     10606       7522184     19316       4563        0.998708    14330645    14349183    10030758    12235       10035990    20864       4677        0.997249    11511915    11543666    10749435    18600       10764173    26959       8654        
96      0.993613    8196236     8248925     7688748     11496       7725171     22806       4956        0.998647    15011880    15032217    10546707    11985       10552047    22533       4449        0.996678    12758068    12800589    11926593    21796       11943939    36684       10287       
