### params -i65536 -r131072 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-ht_lazy_pf2_stats                                                                    lpdquadtsx-ht_harris_pf2_stats                                                                  lpdquadtsx-ht_java_pf2_stats                                                                    lpdquadtsx-ht_copy_pf2_stats                                                                    lpdquadtsx-ht_clht_pf2_stats                                                                    
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999674    4373398     4374824     1           0           1427        0           0           0.999722    5545310     5546852     0           0           1542        0           0           0.999997    5672388     5672406     0           0           18          0           0           0.999534    6638273     6641365     1227        0           4319        0           0                       
8       0.996101    12800012    12850117    7854073     91935       7860786     92836       42491       0.999774    16521049    16524777    9058059     1308        9060264     2227        604         0.952357    11984754    12584303    5566274     283536      5919804     348409      181146      0.992820    13182744    13278086    9013609     223524      9036141     224877      71457                   
16      0.994105    25285193    25435123    15628653    342341      15653004    344155      123765      0.999716    31739156    31748188    16513104    5242        16517611    7137        2630        0.906015    23293527    25709877    10180818    1181521     11615946    1436309     726434      0.990514    25464387    25708246    17417100    612089      17478336    614730      179982                  
24      0.993325    39221236    39484813    21872658    410936      21976663    414686      155822      0.999520    50581618    50605895    22471434    12847       22486439    16681       5438        0.851047    28225491    33165614    14877873    2248105     17820029    2756021     1490051     0.982315    39098554    39802467    23806131    993586      24235127    1003605     264898                  
32      0.991925    46337712    46714919    26598220    620170      26771323    627662      196612      0.999397    59883570    59919730    30838791    20680       30859632    26469       9530        0.819891    32139695    39199961    17838657    2795443     22273058    3552612     1868696     0.983062    45580996    46366334    33549247    1919603     33849035    1931172     473981                  
40      0.989852    52586855    53125952    31116099    960101      31399202    972526      243569      0.999079    71056718    71122212    34440703    22123       34482661    34210       11449       0.780475    36047691    46186869    20217413    3885158     26727090    4885771     2628888     0.975177    48471935    49705758    36219760    2585526     36876794    2619880     542435                  
48      0.988804    57266764    57915171    34336012    1209163     34713500    1227466     252616      0.998957    77549740    77630696    40493444    28175       40545252    42579       14744       0.735261    37275705    50697249    23227186    4607474     32083166    5950803     3222235     0.969614    55233545    56964486    42609382    3721172     43606611    3797531     657353                  
56      0.988960    62511686    63209492    39614177    1632959     39957894    1654323     332725      0.998645    84185555    84299793    42844540    31517       42918937    55269       16089       0.714505    38567895    53978522    22574135    4825636     33199682    6279675     3331041     0.971222    28839520    29694058    21624909    2133834     21936644    2184682     491955                  
64      0.988449    40741937    41218066    26186738    1196485     26421506    1216929     220917      0.998194    82288278    82437195    42967445    32501       43055176    76635       17052       0.676847    39551116    58434336    27281315    5623894     40123121    7590727     4074581     0.964581    50537285    52393005    41568860    4822713     42385288    4920824     941181                  
72      0.988291    53370822    54003140    35772956    1864797     36035732    1883802     350537      0.998365    100933813   101099071   57158201    57319       57256076    89840       34862       0.635192    27998832    44079286    18288874    3337124     30581255    4716270     2408927     0.964011    44190640    45840369    35673860    4393912     36226832    4501323     989346                  
80      0.987586    37452220    37922977    25223792    1456327     25436761    1474869     239246      0.997858    93623446    93824406    51975643    45398       52090144    105920      25937       0.558696    16559133    29638890    9911963     1345248     21054427    2346712     935829      0.989025    5159237     5216486     3233479     169325      3259247     173033      27773                   
88      0.992594    15170380    15283574    9986647     281300      10039425    289998      51718       0.998012    109208745   109426246   62828325    66015       62956747    115631      39463       0.537877    14034790    26092921    8285237     903801      18846209    1780297     620663      0.965656    22119766    22906464    16147711    2029619     16412045    2098844     453139                  
96      0.993694    7831638     7881340     5213022     103262      5238050     108979      18957       0.998135    78352319    78498728    42900825    34778       42987264    74947       19801       0.455147    11925494    26201434    7034240     604442      19870196    1627131     417295      0.988433    3170965     3208074     1993766     119178      2009239     121547      19267                   
