### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_pf0_stats                                                              lpdquadtsx-ll_harris_tsx_pf0_stats                                                              lpdquadtsx-ll_lazy_pf0_stats                                                                    lpdquadtsx-ll_pugh_pf0_stats                                                                    
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       1.000000    14437       14437       0           0           0           0           0           1.000000    2435        2435        0           0           0           0           0           0.995760    13153       13209       2           0           58          0           0           0.999012    14153       14167       1           0           15          0           0           
8       0.995297    49305       49538       41282       397         41333       399         180         0.989498    13945       14093       14082       230         14092       231         137         0.989349    37154       37554       29129       412         29323       449         169         0.989941    38873       39268       30809       508         30921       546         245         
16      0.993168    77478       78011       69719       1068        69796       1070        454         0.978207    22039       22530       22469       714         22526       717         431         0.984326    57084       57993       49229       1364        49424       1432        646         0.986337    56166       56944       48245       1299        48399       1345        578         
24      0.990610    99481       100424      92056       2710        92195       2714        800         0.973938    28850       29622       29599       1259        29622       1260        748         0.982126    72256       73571       64614       2152        64928       2219        934         0.986599    72593       73579       64791       2175        64869       2240        843         
32      0.987656    120340      121844      113491      4033        113601      4038        1389        0.968763    36006       37167       36499       2358        36650       2363        1005        0.978690    87812       89724       80468       3711        80654       3779        1658        0.980707    85804       87492       78396       3508        78507       3588        1497        
40      0.985424    140213      142287      134004      6661        134029      6664        2046        0.956056    41141       43032       42836       3452        43030       3458        1691        0.975198    98535       101041      91430       5094        91734       5186        2110        0.975429    102344      104922      95394       5397        95483       5465        2421        
48      0.984141    151358      153797      145513      7801        145543      7806        2404        0.960945    44806       46627       46438       3307        46625       3316        1625        0.972843    109152      112199      102461      6433        102680      6532        2729        0.971815    112645      115912      106012      6817        106189      6963        2944        
56      0.982036    164271      167276      159019      8755        159034      8763        2982        0.946616    49278       52057       51810       4776        52054       4783        2528        0.970534    116696      120239      110186      7390        110413      7511        3195        0.969251    123311      127223      117037      8166        117171      8280        3664        
64      0.979239    178760      182550      174201      9469        174323      9477        3660        0.947461    51197       54036       53824       4800        54034       4816        2613        0.965645    130391      135030      124551      9459        124820      9557        4272        0.966727    126446      130798      120436      8480        120678      8605        3985        
72      0.980062    175090      178652      170388      9416        170405      9425        3536        0.939073    56998       60696       60480       5863        60694       5868        3479        0.965568    127258      131796      121361      8962        121535      9067        4259        0.962265    138621      144057      133172      10537       133423      10649       5073        
80      0.979872    179834      183528      175277      9298        175290      9308        3671        0.941579    52961       56247       55972       5223        56247       5233        3001        0.961680    135368      140762      129886      11099       130094      11224       5061        0.961194    141136      146834      135877      11190       136057      11308       5400        
88      0.975525    208775      214013      205751      12418       205781      12427       5199        0.931072    58422       62747       62399       6508        62746       6519        3967        0.955674    149110      156026      144616      13085       144837      13193       6587        0.957668    146890      153383      142246      12677       142487      12808       6121        
96      0.977763    183442      187614      172381      10006       172410      10016       4133        0.930350    60202       64709       64396       6818        64706       6833        4182        0.959143    138460      144358      133400      11964       133633      12085       5544        0.958959    141013      147048      135963      12419       136147      12541       5729        
