### params -i16384 -r32768 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-sl_herlihy_pf1_stats                                                                 lpdquadtsx-sl_fraser_cas_pf1_stats                                                              lpdquadtsx-sl_fraser_tsx_pf1_stats                                                              lpdquadtsx-sl_pugh_pf1_stats                                                                    
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.998506    206462      206771      1           0           310         0           0           0.999996    565488      565490      0           0           2           0           0           0.999996    460075      460077      0           0           2           0           0           0.999920    213034      213051      2           0           19          0           0           
8       0.980220    1172322     1195978     1155329     252285      1155855     252567      22848       0.996071    3180143     3192687     1846034     18582       1848454     20202       8504        0.995386    2703062     2715591     1557758     23605       1560449     25274       8169        0.968798    1314382     1356714     1196558     270891      1197150     271128      41503       
16      0.967378    2143087     2215356     2140494     498798      2142812     500099      68650       0.992298    5786416     5831328     3396636     62354       3406282     68622       28998       0.990775    4855852     4901062     2816521     69979       2825943     75807       29960       0.958829    2394595     2497416     2195298     519630      2196923     520169      100657      
24      0.955477    2992041     3131463     3023979     755250      3028986     758100      131565      0.988143    8294679     8394213     4904953     132742      4926660     145670      64899       0.986686    6849212     6941636     3976582     137755      3997514     149818      59429       0.949047    3504586     3692743     3192714     804590      3196296     805715      183450      
32      0.945195    3563455     3770074     3629246     1024719     3636512     1029262     194810      0.984959    10486489    10646629    6249877     201154      6287021     222740      101410      0.982236    8694988     8852242     5073609     221289      5107506     241304      103342      0.939015    4572955     4869949     4152097     1097063     4158880     1099131     288143      
40      0.934236    4244029     4542781     4363925     1313559     4373916     1319828     282492      0.982838    11706207    11910612    6985949     251941      7035261     278712      128322      0.979075    10101398    10317290    5960195     277430      6011807     305589      136121      0.928489    5173287     5571725     4644110     1300292     4654683     1303363     384794      
48      0.924092    4703096     5089423     4859099     1632052     4873366     1641145     362967      0.981015    12691828    12937444    7594790     289118      7656121     320925      152478      0.977754    10606103    10847414    6249083     309326      6310981     340402      148337      0.922039    5882739     6380144     5323317     1522456     5336361     1526416     480401      
56      0.917039    5135220     5599786     5346163     1769238     5361272     1778641     440054      0.977698    14664428    14998938    8827598     383480      8910800     427735      207053      0.974428    11777567    12086641    6983685     385793      7064779     425499      188274      0.917791    6800573     7409715     6215969     1795592     6230588     1800149     589966      
64      0.906965    5523153     6089707     5788097     2056212     5807069     2067784     536010      0.975919    15511130    15893875    9383524     421389      9484557     472337      230764      0.972910    12067667    12403681    7189046     390028      7279564     435121      200403      0.914385    6901523     7547723     6182543     1758309     6201117     1764072     621863      
72      0.898918    5957335     6627225     6293952     2295564     6315072     2308654     635680      0.974307    16015717    16438065    9722879     451043      9837864     509792      248614      0.970316    12696948    13085379    7573657     446789      7680049     498390      230438      0.910204    7193495     7903170     6405388     1868367     6426387     1874888     682155      
80      0.896448    6004142     6697706     6336907     2290546     6360149     2304371     656497      0.971901    18015330    18536175    11002290    533302      11152065    607432      296940      0.969125    13520578    13951327    8119326     468274      8242314     527855      248180      0.905036    7379764     8154111     6671456     2014028     6693335     2020781     745715      
88      0.907430    6452425     7110658     5835106     2152654     5858031     2166544     621418      0.970814    18088568    18632364    11056203    551528      11213711    629992      307824      0.966141    14849817    15370245    8976327     539551      9132366     614841      289099      0.902515    8034084     8901882     7211229     2157202     7236611     2165592     834026      
96      0.920465    7211675     7834814     5608256     2084867     5632154     2098572     585536      0.971963    16472098    16947244    10015280    475828      10157705    545460      263089      0.965756    14078939    14578149    8495926     520964      8647078     592328      276694      0.900909    8041829     8926352     7254248     2176343     7279121     2184585     851408      
